"Hash","Action","Source","Destination","IsDuplicate"
"00F199BA0CDA2F007151A89FC53D5D2BCB64C8E906EA92F24AA0F8A85961E760","moved_keep","D:\CODE\Reaearch_Idea\bk_prompt\chinese\prompt-rewrite.txt","D:\CODE\prompt_dedup_all\001_prompt-rewrite.txt","False"
"00F199BA0CDA2F007151A89FC53D5D2BCB64C8E906EA92F24AA0F8A85961E760","removed_duplicate","D:\CODE\Reaearch_Idea\bk_prompt\prompt-rewrite.txt","D:\CODE\prompt_dedup_all\001_prompt-rewrite.txt","True"
"027A24E0577403D679E3DA66D49D7807F03D5369193C27C4AB501E8C2A8D5986","moved_keep","D:\CODE\Reaearch_Idea\bk_prompt\prompt-hypothesis_con.txt","D:\CODE\prompt_dedup_all\002_prompt-hypothesis_con.txt","False"
"1F8E6A5205319C16B7DAA16BF1AAB87BDFB2BB677463E947B3F32983F87434BD","moved_keep","D:\CODE\RAG\prompt\prompt-answer.txt","D:\CODE\prompt_dedup_all\003_prompt-answer.txt","False"
"2663B05C98AEE35BABFC8E2E4E89F1AEF68675ED6DACE9A4114A90205795C8C9","moved_keep","D:\CODE\Reaearch_Idea\bk_prompt\prompt-selection.txt","D:\CODE\prompt_dedup_all\004_prompt-selection.txt","False"
"42222F0602BDB39C00A6E66B4B57EEBBEC4C0DF30A759BC984301081E4214C84","moved_keep","D:\CODE\docs\prompts.md","D:\CODE\prompt_dedup_all\005_prompts.md","False"
"490161A925BA823CF2AD31B75849BAA5AEBCDFAE03753C39228ED31E868EB65C","moved_keep","D:\CODE\Reaearch_Idea\bk_prompt\chinese\prompt-hypothesis.txt","D:\CODE\prompt_dedup_all\006_prompt-hypothesis.txt","False"
"522BDE3330FA4D5460AAF25B12D727CB0B0438CB7AB150007038221527523381","moved_keep","D:\CODE\Reaearch_Idea\bk_prompt\prompt-background.txt","D:\CODE\prompt_dedup_all\007_prompt-background.txt","False"
"61A73B513C628F3761A4F32491CB343A3EA47BB854B761315C95D6429427965A","moved_keep","D:\CODE\RAG\prompt\prompt-translate.txt","D:\CODE\prompt_dedup_all\008_prompt-translate.txt","False"
"61A73B513C628F3761A4F32491CB343A3EA47BB854B761315C95D6429427965A","removed_duplicate","D:\CODE\Reaearch_Idea\bk_prompt\chinese\prompt-translate.txt","D:\CODE\prompt_dedup_all\008_prompt-translate.txt","True"
"61A73B513C628F3761A4F32491CB343A3EA47BB854B761315C95D6429427965A","removed_duplicate","D:\CODE\Reaearch_Idea\bk_prompt\prompt-translate.txt","D:\CODE\prompt_dedup_all\008_prompt-translate.txt","True"
"84DC6992E849B2F0D9C12A522A65076F7A6091D62DA1CEAF061BC8441BC3B956","moved_keep","D:\CODE\RAG\prompt\prompt-rewrite.txt","D:\CODE\prompt_dedup_all\009_prompt-rewrite.txt","False"
"8ABD6563A004D6206C069AD20AD90114488464852A6FC41B4378F4712B3017EC","moved_keep","D:\CODE\Reaearch_Idea\bk_prompt\chinese\prompt-insperation.txt","D:\CODE\prompt_dedup_all\010_prompt-insperation.txt","False"
"A382462C1C0AD31A6A7D630110C0368C5E53542BB12FA968254E0D0C80547E9A","moved_keep","D:\CODE\Reaearch_Idea\bk_prompt\prompt-keyword.txt","D:\CODE\prompt_dedup_all\011_prompt-keyword.txt","False"
"A4094E27782EDE6FB7847853612B6320A1453A8E46115CE580D1D2FD15586B5A","moved_keep","D:\CODE\RAG\prompt\prompt-keyword.txt","D:\CODE\prompt_dedup_all\012_prompt-keyword.txt","False"
"AE64FBDE1D0A4AB9ABBB9503E17583425770FB332EC7D4FE199570F16AC683FB","moved_keep","D:\CODE\Reaearch_Idea\bk_prompt\prompt-extraction.txt","D:\CODE\prompt_dedup_all\013_prompt-extraction.txt","False"
"B04A6D2BF8BF58ED808F88FF59CCA162C2FAB1E9AFE66061D57F99A954A32344","moved_keep","D:\CODE\Reaearch_Idea\bk_prompt\prompt-interaction.txt","D:\CODE\prompt_dedup_all\014_prompt-interaction.txt","False"
"C065EF92EF465240BD9BBB4365E0F76AAC5E5BA8C3B0EEFA8E2F4222942E107B","moved_keep","D:\CODE\Reaearch_Idea\bk_prompt\prompt-novelty.txt","D:\CODE\prompt_dedup_all\015_prompt-novelty.txt","False"
"C59AFAA9DF7753BBA44859F01761CB3C6FA29FF72A002DBDA04BE47BA12494F5","moved_keep","D:\CODE\RAG\prompt\prompt-contradiction.txt","D:\CODE\prompt_dedup_all\016_prompt-contradiction.txt","False"
"C84BAA7D187EF07638F0CDBAF655BE4E9ED133631B9B66B9742F77AB65C99E91","moved_keep","D:\CODE\Reaearch_Idea\bk_prompt\prompt-quality.txt","D:\CODE\prompt_dedup_all\017_prompt-quality.txt","False"
"E75030F5D057196E5623F1B54B2539F60BAEEC913CE4A047079421D75B5D5318","moved_keep","D:\CODE\Reaearch_Idea\bk_prompt\prompt-evaluation.txt","D:\CODE\prompt_dedup_all\018_prompt-evaluation.txt","False"
"FBB3EE3B4A29651A74F5CDE9AC89A4E1F9C94939E503AA6E729E5BDC76E6B7F6","moved_keep","D:\CODE\Reaearch_Idea\bk_prompt\prompt-idea_no_inspiration.txt","D:\CODE\prompt_dedup_all\019_prompt-idea_no_inspiration.txt","False"
"FC535C82E00A89161D83D36AC8E005E8C2DC0DAE8FE6122AC8A66C36AB72D0B4","moved_keep","D:\CODE\Reaearch_Idea\bk_prompt\prompt-idea_update.txt","D:\CODE\prompt_dedup_all\020_prompt-idea_update.txt","False"
"FEDB1217E389A8049947E6BE2E3A9C71E12E370F1CBCF56B1B361C2EA4727DF5","moved_keep","D:\CODE\Reaearch_Idea\bk_prompt\chinese\prompt-background.txt","D:\CODE\prompt_dedup_all\021_prompt-background.txt","False"
